"gene"	"ncpgs_orig"	"ncpgs"	"treatment.ratio"	"converged"	"p.value.treatment"	"p.value.inter"	"adj.p.value.treatment"	"adj.p.value.inter"
"SpisGene21832"	63	23	0.828100951592839	1	0.00438636635521831	1	0.0362666811749146	1
"SpisGene21835"	20	19	1.26002886372972	1	0.0192235916702058	1	0.102430182481544	1
"SpisGene21836"	14	10	1	1	1	1	1	1
"SpisGene21838"	12	10	1	1	1	1	1	1
"SpisGene21841"	156	146	0.963207696193257	1	0.00617519020739713	1	0.0458048458614371	1
"SpisGene21848"	27	25	1	1	1	1	1	1
"SpisGene21853"	43	26	1	1	1	1	1	1
"SpisGene21854"	104	101	1.04355499364014	1	0.00395845454039672	1	0.0335661660986476	1
"SpisGene21856"	12	8	1	1	1	1	1	1
"SpisGene21862"	27	22	0.850223872911237	1	0.0140036050542569	1	0.0819122077882989	1
"SpisGene21864"	34	33	1	1	1	1	1	1
"SpisGene21866"	14	12	0.910642302222099	1	0.106984700711756	1	0.328794689667143	1
"SpisGene21867"	11	5	0.685278135734829	1	0.00794341479454971	1	0.0551678140891997	1
"SpisGene21872"	144	144	1	1	1	1	1	1
"SpisGene21875"	58	57	0.982457681971768	1	0.433404244842328	1	1	1
"SpisGene21876"	18	15	1	1	1	1	1	1
"SpisGene21877"	82	81	1	1	1	1	1	1
"SpisGene21878"	56	51	1	1	1	1	1	1
"SpisGene21882"	70	65	1	1	1	1	1	1
"SpisGene21883"	91	84	1	1	1	1	1	1
"SpisGene21901"	85	80	0.937532430034304	1	0.0637401378415385	1	0.227649164392412	1
"SpisGene21912"	44	15	1	1	1	1	1	1
"SpisGene21924"	126	103	1.03010692451085	1	0.0842391005499627	1	0.276771963364672	1
"SpisGene21925"	54	46	0.926682748007547	1	0.134413210599462	1	0.386879324240375	1
"SpisGene21927"	50	16	1.51557030423285	1	1.12748934858779e-09	0.00912585210601986	2.11490247810527e-07	0.225941398785955
