Spis11446 SpisGene11446
Spis3251 SpisGene3251
Spis499 SpisGene499
Spis21039 SpisGene21039
Spis17623 SpisGene17623
Spis5677 SpisGene5677
Spis17853 SpisGene17853
Spis12323 SpisGene12323
Spis15779 SpisGene15779
Spis31.t1 SpisGene31
Spis24855 SpisGene24855
Spis17238 SpisGene17238
Spis24165 SpisGene24165
Spis669 SpisGene669
Spis4167 SpisGene4167
Spis10992 SpisGene10992
Spis11586 SpisGene11586
Spis5647 SpisGene5647
Spis12956.t2 SpisGene12956
Spis4102 SpisGene4102
Spis14752 SpisGene14752
Spis2486 SpisGene2486
Spis5955 SpisGene5955
Spis14572 SpisGene14572
Spis19533 SpisGene19533
Spis21013 SpisGene21013
Spis11022 SpisGene11022
Spis16826 SpisGene16826
Spis21218 SpisGene21218
Spis4437 SpisGene4437
Spis19672 SpisGene19672
Spis18417 SpisGene18417
Spis2696.t1 SpisGene2696
Spis18573 SpisGene18573
Spis18084 SpisGene18084
Spis4245 SpisGene4245
Spis7975 SpisGene7975
Spis16599 SpisGene16599
Spis2918 SpisGene2918
Spis10698 SpisGene10698
Spis3877.t1 SpisGene3877
Spis17393 SpisGene17393
Spis17962 SpisGene17962
Spis4075 SpisGene4075
Spis4249 SpisGene4249
Spis17833 SpisGene17833
Spis9457 SpisGene9457
Spis15030 SpisGene15030
Spis15062.t1 SpisGene15062
Spis8367 SpisGene8367
Spis11172 SpisGene11172
Spis2079 SpisGene2079
Spis3935 SpisGene3935
Spis22331 SpisGene22331
Spis22338 SpisGene22338
Spis1039 SpisGene1039
Spis16782 SpisGene16782
Spis6309 SpisGene6309
Spis13703 SpisGene13703
Spis22069 SpisGene22069
Spis10205 SpisGene10205
Spis10247.t2 SpisGene10247
Spis8200 SpisGene8200
Spis15102 SpisGene15102
Spis2362.t1 SpisGene2362
Spis1727 SpisGene1727
Spis11571 SpisGene11571
Spis10116 SpisGene10116
Spis14463 SpisGene14463
Spis19036 SpisGene19036
Spis1680 SpisGene1680
Spis5690 SpisGene5690
Spis12755.t1 SpisGene12755
Spis21326 SpisGene21326
Spis9381 SpisGene9381
Spis12247 SpisGene12247
Spis3949 SpisGene3949
Spis20229 SpisGene20229
Spis8369 SpisGene8369
Spis1214 SpisGene1214
Spis17665 SpisGene17665
Spis5817 SpisGene5817
Spis17318 SpisGene17318
Spis10907 SpisGene10907
Spis16005 SpisGene16005
Spis9414 SpisGene9414
Spis9459 SpisGene9459
Spis23023 SpisGene23023
Spis2970 SpisGene2970
Spis13053 SpisGene13053
Spis2193.t1 SpisGene2193
Spis346 SpisGene346
Spis18924 SpisGene18924
